"y"	"time"	"group"
"1"	0.12	141.6	"RKW"
"2"	0.12	141.6	"RKW"
"3"	0.11	141.6	"RKW"
"4"	0.19	183.2	"RKW"
"5"	0.27	212.8	"RKW"
"6"	0.28	227	"RKW"
"7"	0.35	242.4	"RKW"
"8"	0.38	271.5	"RKW"
"9"	0.46	297.4	"RKW"
"10"	0.51	312.3	"RKW"
"11"	0.58	331.4	"RKW"
"12"	0.59	342.4	"RKW"
"13"	0.6	346.3	"RKW"
"14"	0.57	356.6	"RKW"
"15"	0.64	371.6	"RKW"
"16"	0.68	408.8	"RKW"
"17"	0.72	408.8	"RKW"
"18"	0.73	419.5	"RKW"
"19"	0.78	434.4	"RKW"
"20"	0.84	464.5	"RKW"
"21"	0.85	492.6	"RKW"
"22"	0.83	521.7	"RKW"
"23"	0.86	550.5	"RKW"
"24"	0.88	550.3	"RKW"
"25"	0.88	565.4	"RKW"
"26"	0.95	588	"RKW"
"27"	0.95	602.9	"RKW"
"28"	0.93	623.7	"RKW"
"29"	0.92	639.6	"RKW"
"30"	0.97	647.9	"RKW"
"31"	0.86	672.6	"RKW"
"32"	1	680.6	"RKW"
"33"	0.85	709.7	"RKW"
"34"	0.97	709.7	"RKW"
"35"	0.9	750.2	"RKW"
"36"	1.02	750.2	"RKW"
"37"	0.95	750.2	"RKW"
"38"	0.54	141.6	"RWC"
"39"	0.53	141.6	"RWC"
"40"	0.5	141.6	"RWC"
"41"	0.6	183.2	"RWC"
"42"	0.7	212.8	"RWC"
"43"	0.74	227	"RWC"
"44"	0.78	242.4	"RWC"
"45"	0.82	271.5	"RWC"
"46"	0.88	297.4	"RWC"
"47"	0.83	312.3	"RWC"
"48"	1	331.4	"RWC"
"49"	0.85	342.4	"RWC"
"50"	0.96	346.3	"RWC"
"51"	0.84	356.6	"RWC"
"52"	0.86	371.6	"RWC"
"53"	0.82	408.8	"RWC"
"54"	0.86	408.8	"RWC"
"55"	0.84	419.5	"RWC"
"56"	0.84	434.4	"RWC"
"57"	0.84	464.5	"RWC"
"58"	0.77	492.6	"RWC"
"59"	0.69	521.7	"RWC"
"60"	0.61	550.5	"RWC"
"61"	0.67	550.3	"RWC"
"62"	0.73	565.4	"RWC"
"63"	0.65	588	"RWC"
"64"	0.55	602.9	"RWC"
"65"	0.58	623.7	"RWC"
"66"	0.56	639.6	"RWC"
"67"	0.6	647.9	"RWC"
"68"	0.5	672.6	"RWC"
"69"	0.5	680.6	"RWC"
"70"	0.42	709.7	"RWC"
"71"	0.43	709.7	"RWC"
"72"	0.44	141.6	"RKV"
"73"	0.42	141.6	"RKV"
"74"	0.4	141.6	"RKV"
"75"	0.51	183.2	"RKV"
"76"	0.6	212.8	"RKV"
"77"	0.63	227	"RKV"
"78"	0.71	242.4	"RKV"
"79"	0.74	271.5	"RKV"
"80"	0.82	297.4	"RKV"
"81"	0.82	312.3	"RKV"
"82"	0.85	331.4	"RKV"
"83"	0.89	342.4	"RKV"
"84"	0.91	346.3	"RKV"
"85"	0.87	356.6	"RKV"
"86"	0.91	371.6	"RKV"
"87"	0.93	408.8	"RKV"
"88"	0.95	408.8	"RKV"
"89"	0.95	419.5	"RKV"
"90"	0.97	434.4	"RKV"
"91"	1	464.5	"RKV"
"92"	0.96	492.6	"RKV"
"93"	0.9	521.7	"RKV"
"94"	0.86	550.5	"RKV"
"95"	0.91	550.3	"RKV"
"96"	0.94	565.4	"RKV"
"97"	0.96	588	"RKV"
"98"	0.88	602.9	"RKV"
"99"	0.88	623.7	"RKV"
"100"	0.88	639.6	"RKV"
"101"	0.92	647.9	"RKV"
"102"	0.82	672.6	"RKV"
"103"	0.85	709.7	"RKV"
